"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Module","Owner","Preconditions","Priority","References","Release","Section","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","TC Status","Type","Updated By","Updated On"
"C179603","PLAT-4213:- Enable support for S3 in EU-CENTRAL-1 Region","Ajeesh Varghese","6/5/2019 12:36 PM","","","","Selectable S3 Bucket for Account storage","Ajeesh Varghese","","Medium","","4.17","Test Cases","","","Choose TestS3_EU org in canary (This org is pointing to EU region)","","","","","Choose TestS3_EU org in canary (This org is pointing to EU region)","Master","S1"," Manual","Backend","Ashok Pallamala","1/9/2025 1:27 AM"
"","","","","","","","","","","","","","","","","create a pipeline with file reader/writer, account creation, upload snappack, preview validation etc
Expected Result:
Should be able to successfully execute the following,
create a pipeline with file reader/writer, account creation, upload snappack, preview validation.","","Should be able to successfully execute the following,
create a pipeline with file reader/writer, account creation, upload snappack, preview validation.","","","create a pipeline with file reader/writer, account creation, upload snappack, preview validation etc","","","","","",""
"C10300626","verify expression support for error pipeline","Ajeesh Varghese","6/18/2020 3:41 PM","","Pipeline execution should be successful.",""," Error Pipelines","Alexander Shostak","","Critical","","NA","Test Cases","","Create a pipeline with error pipeline, expression library and account as expressions and verify pipeline execution is successful.","","","","","","","Master","S1"," Automated","API","Krishna Chaitanya","5/30/2024 4:22 AM"
"C10300757","[Appsec] Unauthenticated Cross-Site Scripting - Systemic","Shantala Gonaki","7/7/2020 12:35 AM","","","","Public API","Adepu Anusha","","High","PLAT-6117","4.21-Patches","Test Cases","","For testing, look at the attached document. In the table on page 1 are a number of URLs. If you view them in your browser, you’ll notice an alert window will pop up. To verify that the fix is applied correctly, the alert window should no longer pop up.
for URL 3 and 4 I had to add valid login credentials and try then it worked.

for 5 and 6 tired it on Postman, as a POST call, by sending header Accept : text/html and receiving Content-Type : application/json only on stage.","","","","","","","Master","S1"," To Be Automated","EndtoEnd","Natasha Mahaldar","8/1/2024 1:44 AM"
"C11542489","Verify the functionality of Github remote branches Sync","Raghuram Kappagantu","12/3/2020 3:35 AM","","expecting all assets in branch1 is available in project2 now, but that is not happening","","GitHub","Dinesh Babu","2 remote Git branches should be present.Branch1 and Branch2 and should also have two projects project1 and project 2","Medium","","4.23-Patches","Test Cases","","1. One project(Project 1) is in sync with the repo branch(branch1).
2. Added or Made Changes to some assets in the project.
3. Did a git commit after git add to merge the assets created by step 2 to branch1 repo
4. Did a merge to another branch(branch2) to make sure assets in branch1 is available in branch2.
5. Did a git pull to another project(project2) from branch2 in same org. ","","","","","","","Master","S1"," Manual","EndtoEnd","Priya Sao","7/26/2024 1:15 PM"
"C11542519","Verify able to open pipeline Execution statistics pop up after changing org","Raghuram Kappagantu","12/10/2020 3:34 AM","","1. User should be able to log in to dashboard successfully
2. User should be navigated to Pipeline panel tab
3. Organization value should be changed successfully
4. Pipeline Executions Statistics pop up should be opened successfully.","","Pipeline Executions","Shireen Kamarsu","1 . Should have run pipelines
","Medium","","4.23","Test Cases","","1. Log in to Dashboard
2. Navigate to Pipeline panel tab
3. Change the organization value from drop down
4. Click on state of any pipeline(Either in Current or History table)","","","","","","","Master","S1"," Automated","UI","Shireen Kamarsu","10/15/2024 9:54 AM"
"C11630409","[Appsec] Stored Cross-Site Scripting - Task dialog","SriSwapna Pothana","1/14/2021 11:54 AM","","Below alert should not be displayed and should be able to create snapplex

![](index.php?/attachments/get/13460)
","","Public API","Adepu Anusha","","Medium","UI-5605","4.24","Test Cases","","1) Create a Project Space- Eg: Project_Space_2
2) Create a Project having img tags: <img src=a onerror=alert('dz')>
3) Create a snaplex in the project that is created in Step2: Eg: Gplex
4) Create a Task in the project (created in step 2)
   Select the snaplex Gplex.","","","","","","","Master","S1"," To Be Automated","EndtoEnd","Natasha Mahaldar","8/1/2024 1:44 AM"
"C11834549","Verify mail notification should be sent when jcc could not communicate with control plane for more than 10 mins","Raghuram Kappagantu","4/2/2021 11:58 AM","","1 . Snaplex notification mail should have been received","","Alerts","Anton Samsonov","2. Shut down the jcc and make sure jcc should not communicate with control plane for > 10 mins","Low","","4.25","Test Cases","","1. Log in to Canary pod
2. Manage Snaplex notification should have been configured","","","","","","","Master","S1","Obsolete","EndtoEnd","Anton Samsonov","4/26/2024 12:10 PM"
"C11834943","Verify Active pipeline when the JCC fails to send the runtime status update around the sampling time","Ravi Dhumal","4/26/2021 12:24 PM","","pipeline that was executed when node was disconnected is showing in active pipeline","","Snaplex Stats","Nazeer Shaik","","Medium","","4.25","Test Cases","","1) Run pipeline that runs at least 5 mins
2) After a min or 2, disconnect jcc and CP connection
3) Wait for 15 mins
4) Go to dashboard -> Snaplex tab
5) Select snaplex where pipeline was executing
5) Either click on cpu or memory graph
6) Click on data point when node was disconnected
","","","","","","","Master","S1"," Manual","Backend","Nagendra Arcot Srinath Babu","3/20/2024 10:30 AM"
"C11834944","Verify snaplex health is not returning 500 when there are no active nodes in plex","Ravi Dhumal","4/26/2021 12:37 PM","","verify snaplex_cc_details_with_info is not returning 500","","Snaplex Health","Anton Samsonov","","Medium","","4.25","Test Cases","","1. Login to org where snaplex exists but there isn't any active node
2. Go to dashboard and view n/w call","","","","","","","Master","S1"," Automated","API","Shaik Irfan","11/21/2024 10:31 PM"
